usageKey,canonicalName,vernacularName,primaryImageUrl,secondaryImageUrl,primarySourceUrl,secondarySourceUrl,primaryGbifId,secondaryGbifId,primarySource,secondarySource,primaryLicense,secondaryLicense,primaryVisualRole,secondaryVisualRole,primaryExplicitVisualRoleField,secondaryExplicitVisualRoleField,sameImageUrl,sameGbifId,visualRoleReviewStatus,reviewerVisualVariety,reviewerNotes
2882805,Epigaea repens,trailing arbutus,https://inaturalist-open-data.s3.amazonaws.com/photos/610569320/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/610569346/original.jpg,https://www.gbif.org/occurrence/6130393704,https://www.gbif.org/occurrence/6130393704,6130393704,6130393704,gbif,gbif,CC0,CC0,,,,,False,True,needs_manual_classification,,
2882833,Vaccinium myrtillus,myrtle whortleberry,https://inaturalist-open-data.s3.amazonaws.com/photos/605093308/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/604792724/original.jpg,https://www.gbif.org/occurrence/5938645122,https://www.gbif.org/occurrence/5938077805,5938645122,5938077805,gbif,gbif,CC0,CC BY,,,,,False,False,needs_manual_classification,,
2882835,Vaccinium vitis-idaea,mountain cranberry,https://inaturalist-open-data.s3.amazonaws.com/photos/604529788/original.jpg,https://arter.dk/media/597ebfb2-1874-46b7-b68f-64bf7d4f6b80.jpg,https://www.gbif.org/occurrence/5938471322,https://www.gbif.org/occurrence/6052623332,5938471322,6052623332,gbif,gbif,CC BY,CC BY,,,,,False,False,needs_manual_classification,,
2882838,Vaccinium ovatum,evergreen huckleberry,https://inaturalist-open-data.s3.amazonaws.com/photos/604973290/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/604973245/original.jpg,https://www.gbif.org/occurrence/5938050968,https://www.gbif.org/occurrence/5938067655,5938050968,5938067655,gbif,gbif,CC BY,CC BY,,,,,False,False,needs_manual_classification,,
2882841,Vaccinium macrocarpon,large cranberry,https://inaturalist-open-data.s3.amazonaws.com/photos/605498452/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/605498458/original.jpg,https://www.gbif.org/occurrence/5938436322,https://www.gbif.org/occurrence/5938436322,5938436322,5938436322,gbif,gbif,CC0,CC0,,,,,False,True,needs_manual_classification,,
2882849,Vaccinium corymbosum,highbush blueberry,https://inaturalist-open-data.s3.amazonaws.com/photos/606483432/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/607045877/original.jpg,https://www.gbif.org/occurrence/6131305206,https://www.gbif.org/occurrence/6130908582,6131305206,6130908582,gbif,gbif,CC0,CC BY,,,,,False,False,needs_manual_classification,,
2882861,Vaccinium cespitosum,dwarf bilberry,https://inaturalist-open-data.s3.amazonaws.com/photos/676794409/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/673040504/original.jpg,https://www.gbif.org/occurrence/6399640964,https://www.gbif.org/occurrence/6399697178,6399640964,6399697178,gbif,gbif,CC0,CC0,,,,,False,False,needs_manual_classification,,
2882868,Vaccinium angustifolium,early lowbush blueberry,https://inaturalist-open-data.s3.amazonaws.com/photos/631925814/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/631925819/original.jpg,https://www.gbif.org/occurrence/6234196415,https://www.gbif.org/occurrence/6234196415,6234196415,6234196415,gbif,gbif,CC BY,CC BY,,,,,False,True,needs_manual_classification,,
2882895,Vaccinium pallidum,pale blueberry,https://inaturalist-open-data.s3.amazonaws.com/photos/633945461/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/633945474/original.jpg,https://www.gbif.org/occurrence/6188507535,https://www.gbif.org/occurrence/6188507535,6188507535,6188507535,gbif,gbif,CC BY,CC BY,,,,,False,True,needs_manual_classification,,
2882910,Vaccinium parvifolium,red huckleberry,https://inaturalist-open-data.s3.amazonaws.com/photos/604660959/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/610308821/original.jpg,https://www.gbif.org/occurrence/5938117924,https://www.gbif.org/occurrence/6129928012,5938117924,6129928012,gbif,gbif,CC BY,CC BY,,,,,False,False,needs_manual_classification,,
